Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	time	value	value.SD	norm.value	norm.value.SD
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3824E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	19800	4523.8193	1246.8879	0.9515	0.2623
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3760E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	19980	4526.2251	1220.9098	0.952	0.2568
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3632E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	20160	4598.2158	1291.8539	0.9671	0.2717
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3440E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	20340	4545.0288	1187.6517	0.956	0.2498
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3824E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	20520	4569.2676	1278.4536	0.961	0.2689
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3760E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	20700	4513.2085	1216.4103	0.9493	0.2558
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.4400E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	20880	4504.8438	1206.173	0.9475	0.2537
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3824E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	21060	4580.9717	1250.2992	0.9635	0.263
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.4272E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	21240	4488.9492	1233.7733	0.9442	0.2595
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.4144E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	21420	4556.5649	1245.7504	0.9584	0.262
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.4336E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	21600	4495.8125	1235.4735	0.9456	0.2599
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3952E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	21780	4512.522	1335.5652	0.9491	0.2809
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3824E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	21960	4492.2998	1284.6233	0.9449	0.2702
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3568E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	22140	4415.1157	1202.3848	0.9286	0.2529
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3824E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	22320	4520.5293	1280.1277	0.9508	0.2692
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3760E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	22500	4359.0942	1223.1241	0.9168	0.2573
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3312E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	22680	4391.4106	1191.2485	0.9236	0.2506
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3504E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	22860	4442.9165	1256.0348	0.9345	0.2642
